<<<<<<< HEAD
Zip_CoDE,less_than_grade_9_est,high_school_non_grad_est,high_school_grad_est,some_college_no_degree_est,associates_degree_est,bachelor_degree_est,grad_or_professional_degree_est,registration_rate,turnout_rate,latitude,longitude,population,num_registered_voters,num_voted,did_not_vote,average_house_value,average_income
33948,314,750,4639,3329,1159,1587,1278,,,,,,,,,,
33950,330,920,5187,4220,1535,4010,2419,,,,,,,,,,
33952,772,2442,8725,6140,1831,2390,1470,,,,,,,,,,
33953,88,322,1929,1363,662,660,523,,,,,,,,,,
33954,323,325,2361,1394,734,909,412,,,,,,,,,,
33955,315,1061,2737,2118,727,1397,916,,,,,,,,,,
33956,36,314,836,1022,210,577,377,,,,,,,,,,
33957,24,161,690,961,388,2236,1804,,,,,,,,,,
33960,58,88,217,125,23,67,34,,,,,,,,,,
33965,0,0,0,0,4,0,0,,,,,,,,,,
33966,308,288,1668,1293,811,1785,1040,,,,,,,,,,
33967,1016,1079,4293,3221,1526,3073,1290,,,,,,,,,,
33971,991,1677,5249,2982,1447,1375,546,,,,,,,,,,
33972,749,1253,3193,2146,980,1258,518,,,,,,,,,,
33973,1215,1324,2260,1425,387,628,173,,,,,,,,,,
33983,507,706,3970,2651,1396,1369,875,,,,,,,,,,
33990,1175,1561,8878,5387,2245,3242,1427,,,,,,,,,,
33991,285,597,4704,2953,1652,2803,1117,,,,,,,,,,
34238,103,338,3093,2996,1166,3997,3945,,,,,,,,,,
34239,489,365,2736,2203,911,2942,1830,,,,,,,,,,
34240,245,293,2232,1725,598,1777,1510,,,,,,,,,,
34241,210,358,2745,2286,981,2558,1695,,,,,,,,,,
32658,10,14,66,52,20,11,1,,,,,,,,,,
32680,633,951,3171,1651,507,394,99,,,,,,,,,,
32681,0,0,28,0,0,48,0,,,,,,,,,,
32754,238,683,2603,1848,772,971,524,,,,,,,,,,
32757,1000,1365,5480,4143,1634,3441,2141,,,,,,,,,,
32759,107,282,907,489,160,213,51,,,,,,,,,,
32763,547,1200,6190,4034,1705,2050,721,,,,,,,,,,
32764,78,431,964,561,276,285,97,,,,,,,,,,
32765,743,1097,7070,6533,5652,10640,6246,,,,,,,,,,
32766,270,347,1847,2056,1198,2930,1610,,,,,,,,,,
32767,170,371,983,287,233,44,12,,,,,,,,,,
32771,1099,2475,8895,7402,4197,7074,3301,,,,,,,,,,
32773,850,1218,6665,4502,2856,2744,1005,,,,,,,,,,
32776,607,545,2258,1976,718,1122,825,,,,,,,,,,
32778,592,1244,5906,3594,1502,2059,1211,,,,,,,,,,
32779,192,492,3247,3745,2420,6809,4101,,,,,,,,,,
32780,425,1625,7833,6363,3103,4974,2277,,,,,,,,,,
32784,303,1162,2985,1997,783,599,470,,,,,,,,,,
32789,290,688,2637,2418,1170,5598,4892,,,,,,,,,,
32792,864,1555,8255,8277,3975,8072,4194,,,,,,,,,,
32796,240,1032,5041,3961,2218,2188,1138,,,,,,,,,,
32798,106,170,778,586,113,325,51,,,,,,,,,,
32822,2113,4748,12445,7913,4244,5170,1665,,,,,,,,,,
32824,1589,2073,7606,6624,3451,4764,1477,,,,,,,,,,
32825,1604,2974,8795,8383,4475,8201,3608,,,,,,,,,,
32826,531,939,3148,2105,1774,3256,1695,,,,,,,,,,
32827,58,279,1238,913,573,1520,1436,,,,,,,,,,
32828,1011,1747,6602,7802,4646,11471,5427,,,,,,,,,,
32829,566,813,3280,2507,2125,2570,1967,,,,,,,,,,
32830,0,2,4,0,5,0,0,,,,,,,,,,
32831,321,783,1183,282,138,78,44,,,,,,,,,,
32832,290,322,1678,2505,1423,4436,2339,,,,,,,,,,
32833,102,344,2343,1495,733,857,633,,,,,,,,,,
32835,1110,1497,7256,5369,3217,6787,4391,,,,,,,,,,
32836,322,484,2038,1817,1350,4283,2191,,,,,,,,,,
32837,1461,2112,8520,8169,3564,8309,3953,,,,,,,,,,
32839,2885,4088,10263,7359,2806,5188,1075,,,,,,,,,,
32901,755,1356,5491,4015,1571,3105,1783,,,,,,,,,,
32903,85,242,1983,2250,1049,2899,2141,,,,,,,,,,
32904,306,1247,6106,4188,2422,4125,2497,,,,,,,,,,
32905,641,1603,5366,3862,2199,2102,968,,,,,,,,,,
32907,936,1990,10072,7433,3233,4137,1794,,,,,,,,,,
32908,327,365,2941,1931,805,910,310,,,,,,,,,,
32909,1113,1182,7462,5247,2333,2111,1407,,,,,,,,,,
=======
Zip_CoDE,less_than_grade_9_est,high_school_non_grad_est,high_school_grad_est,some_college_no_degree_est,associates_degree_est,bachelor_degree_est,grad_or_professional_degree_est,registration_rate,turnout_rate,population,num_registered_voters,num_voted,did_not_vote,average_house_value,average_income,Latitude,Longitude,City,State
33626,165,444,2529,3183,1661,7030,4525,0.65,0.42,33535,33382,"14,115","19,267","347,700","106,560",28.052799,-82.61135,Tampa,FL
33629,305,166,2263,2425,1118,6512,5457,0.65,0.69,24930,34542,"15,507","19,035","492,300","115,180",27.92085,-82.50916,Tampa,FL
33634,838,1250,4248,2717,1294,2988,1290,0.65,0.38,22560,19609,"7,468","12,141","162,400","58,013",28.005497,-82.54936,Tampa,FL
33635,330,697,3495,2869,1345,2214,1407,0.65,0.39,18517,18163,"7,113","11,050","164,700","60,267",28.031088,-82.60593,Tampa,FL
33637,450,539,2549,2188,1037,2216,1071,0.65,0.38,18417,16651,"6,352","10,299","146,000","52,635",28.038324,-82.36289,Tampa,FL
33701,334,944,2763,2334,868,2851,2230,0.72,0.41,19376,25175,"10,330","14,845","344,500","35,770",27.770955,-82.63931,Saint Petersburg,FL
33801,1607,3107,7962,4436,1538,2250,911,0.69,0.37,32970,28474,"10,579","17,895","78,700","35,696",28.041198,-81.92392,Lakeland,FL
33803,617,1186,6474,3947,1695,4510,2543,0.69,0.42,29675,31091,"13,167","17,924","133,100","51,502",28.015032,-81.95206,Lakeland,FL
33805,1152,1751,5848,2971,1364,1493,738,0.69,0.38,27347,24203,"9,086","15,117","79,900","35,198",28.071564,-81.95802,Lakeland,FL
33980,288,1077,2825,2519,937,1618,764,0.84,0.43,13407,13897,"6,029","7,868","140,800","43,559",26.983094,-82.05972,Port Charlotte,FL
33982,544,871,2707,2227,779,618,436,0.84,0.42,12593,12939,"5,469","7,470","113,200","47,067",26.958821,-81.95134,Punta Gorda,FL
32666,159,299,1636,1177,495,522,383,0.69,0.43,5679,7853,"3,374","4,479","136,100","47,067",29.733375,-82.01048,Melrose,FL
32667,54,101,755,417,327,440,480,0.70,0.44,3649,5447,"2,401","3,046","236,200","52,500",29.502067,-82.27775,Micanopy,FL
32668,77,170,1319,668,314,206,257,0.74,0.42,6019,6317,"2,661","3,656","153,500","39,277",29.282158,-82.51776,Morriston,FL
32669,77,357,2061,1609,1104,1821,857,0.70,0.43,15554,18531,"8,013","10,518","197,900","69,439",29.640613,-82.59446,Newberry,FL
33541,465,1984,6774,3377,1370,1357,662,0.75,0.41,25278,23848,"9,786","14,062","69,300","39,334",28.234624,-82.20022,Zephyrhills,FL
32176,302,602,3513,2897,1019,2285,1625,0.73,0.43,17730,20777,"9,020","11,757","214,800","46,875",29.316606,-81.05611,Ormond Beach,FL
32054,515,1474,3404,1667,573,498,183,0.49,0.43,10403,11233,"4,839","6,394","108,100","41,566",30.005135,-82.38103,Lake Butler,FL
32801,304,412,2187,1303,776,3692,1789,,,,,,,,,28.541879,-81.37446,Orlando,FL
32803,87,295,2169,2230,1669,4872,2808,,,,,,,,,28.557579,-81.35244,Orlando,FL
32804,196,403,3065,2190,1135,4501,2415,,,,,,,,,28.577723,-81.3931,Orlando,FL
32805,1316,2352,5057,2579,834,1743,533,,,,,,,,,28.53028,-81.40089,Orlando,FL
32806,317,1062,5175,3796,2157,4830,2531,,,,,,,,,28.51483,-81.36054,Orlando,FL
32807,2314,2518,7411,3721,2413,2666,811,,,,,,,,,28.546897,-81.30774,Orlando,FL
32808,2431,4795,10943,6296,3174,2721,1440,,,,,,,,,28.576028,-81.44369,Orlando,FL
32809,1812,1795,7011,3474,1437,2097,840,,,,,,,,,28.463482,-81.38814,Orlando,FL
32810,1058,2124,7561,5322,2743,3704,1112,,,,,,,,,28.619445,-81.42695,Orlando,FL
32811,1462,2234,7286,5849,2615,3598,1373,,,,,,,,,28.52493,-81.43994,Orlando,FL
32812,759,1494,7144,5322,3496,5276,2375,,,,,,,,,28.493531,-81.32609,Orlando,FL
32814,23,112,494,645,459,2100,1704,,,,,,,,,28.566338,-81.260818,Orlando,FL
32817,607,1525,4860,3831,2437,4938,2410,,,,,,,,,28.591692,-81.24717,Orlando,FL
32818,2486,3414,10483,6577,3111,4139,1541,,,,,,,,,28.583103,-81.48608,Orlando,FL
32819,581,850,3424,3795,2164,5637,2780,,,,,,,,,28.463509,-81.47514,Orlando,FL
32820,318,583,1263,1251,565,1243,769,,,,,,,,,28.561242,-81.10735,Orlando,FL
32821,266,773,2906,2520,1367,3716,983,,,,,,,,,28.391608,-81.47345,Orlando,FL
33702,574,1558,6344,4959,2275,4416,2278,,,,,,,,,27.843052,-82.6449,Saint Petersburg,FL
33703,412,1095,4235,3813,1746,4296,2548,,,,,,,,,27.816977,-82.62795,Saint Petersburg,FL
33704,223,404,2214,2200,993,3698,2934,,,,,,,,,27.796454,-82.63751,Saint Petersburg,FL
33705,988,1510,5612,3985,1764,3148,2391,,,,,,,,,27.741306,-82.64349,Saint Petersburg,FL
33809,716,1650,7904,4396,1902,2822,1479,,,,,,,,,28.128494,-81.95625,Lakeland,FL
33810,1338,3100,12342,7027,3515,4134,2019,,,,,,,,,28.106787,-82.01033,Lakeland,FL
33811,635,904,5790,3236,1231,2167,807,,,,,,,,,27.978316,-82.00841,Lakeland,FL
33813,351,933,6366,4788,2283,6387,3673,,,,,,,,,27.965469,-81.92215,Lakeland,FL
33815,900,1384,4810,1343,600,532,247,,,,,,,,,28.042948,-81.9849,Lakeland,FL
33823,1423,2418,7965,3964,1808,1939,1093,,,,,,,,,28.068865,-81.80267,Auburndale,FL
33946,33,127,629,401,176,428,159,,,,,,,,,26.849473,-82.28661,Placida,FL
33947,110,244,2599,1975,697,1324,615,,,,,,,,,26.894448,-82.26125,Rotonda West,FL
33948,314,750,4639,3329,1159,1587,1278,,,,,,,,,26.984486,-82.14859,Port Charlotte,FL
33950,330,920,5187,4220,1535,4010,2419,,,,,,,,,26.914393,-82.04106,Punta Gorda,FL
33952,772,2442,8725,6140,1831,2390,1470,,,,,,,,,26.993876,-82.09821,Port Charlotte,FL
33953,88,322,1929,1363,662,660,523,,,,,,,,,27.012758,-82.2112,Port Charlotte,FL
33954,323,325,2361,1394,734,909,412,,,,,,,,,27.02442,-82.12225,Port Charlotte,FL
33955,315,1061,2737,2118,727,1397,916,,,,,,,,,26.837879,-82.00403,Punta Gorda,FL
33956,36,314,836,1022,210,577,377,,,,,,,,,26.536435,-82.0915,Saint James City,FL
33957,24,161,690,961,388,2236,1804,,,,,,,,,26.439608,-82.08045,Sanibel,FL
33960,58,88,217,125,23,67,34,,,,,,,,,27.052583,-81.39628,Venus,FL
33965,0,0,0,0,4,0,0,,,,,,,,,26.552895,-81.94861,Fort Myers,FL
33971,991,1677,5249,2982,1447,1375,546,,,,,,,,,26.60599,-81.70296,Lehigh Acres,FL
33972,749,1253,3193,2146,980,1258,518,,,,,,,,,26.634332,-81.59391,Lehigh Acres,FL
33983,507,706,3970,2651,1396,1369,875,,,,,,,,,26.999486,-82.00964,Punta Gorda,FL
33990,1175,1561,8878,5387,2245,3242,1427,,,,,,,,,26.63075,-81.95251,Cape Coral,FL
33991,285,597,4704,2953,1652,2803,1117,,,,,,,,,26.634338,-82.00674,Cape Coral,FL
34238,103,338,3093,2996,1166,3997,3945,,,,,,,,,27.240571,-82.47836,Sarasota,FL
34239,489,365,2736,2203,911,2942,1830,,,,,,,,,27.310924,-82.5213,Sarasota,FL
34240,245,293,2232,1725,598,1777,1510,,,,,,,,,27.33458,-82.40894,Sarasota,FL
34241,210,358,2745,2286,981,2558,1695,,,,,,,,,27.272873,-82.41676,Sarasota,FL
32658,10,14,66,52,20,11,1,,,,,,,,,29.845122,-82.39845,La Crosse,FL
32680,633,951,3171,1651,507,394,99,,,,,,,,,29.643244,-82.99026,Old Town,FL
32681,0,0,28,0,0,48,0,,,,,,,,,29.425291,-82.2158,Orange Lake,FL
32754,238,683,2603,1848,772,971,524,,,,,,,,,28.707648,-80.89049,Mims,FL
32757,1000,1365,5480,4143,1634,3441,2141,,,,,,,,,28.786272,-81.64475,Mount Dora,FL
32759,107,282,907,489,160,213,51,,,,,,,,,28.868986,-80.85374,Oak Hill,FL
32763,547,1200,6190,4034,1705,2050,721,,,,,,,,,28.945857,-81.30512,Orange City,FL
32764,78,431,964,561,276,285,97,,,,,,,,,28.834172,-81.0948,Osteen,FL
32765,743,1097,7070,6533,5652,10640,6246,,,,,,,,,28.656375,-81.21026,Oviedo,FL
32766,270,347,1847,2056,1198,2930,1610,,,,,,,,,28.639275,-81.11906,Oviedo,FL
32767,170,371,983,287,233,44,12,,,,,,,,,29.008612,-81.50174,Paisley,FL
32771,1099,2475,8895,7402,4197,7074,3301,,,,,,,,,28.803979,-81.28761,Sanford,FL
32773,850,1218,6665,4502,2856,2744,1005,,,,,,,,,28.769173,-81.27631,Sanford,FL
32776,607,545,2258,1976,718,1122,825,,,,,,,,,28.804039,-81.53689,Sorrento,FL
32778,592,1244,5906,3594,1502,2059,1211,,,,,,,,,28.799017,-81.73184,Tavares,FL
32779,192,492,3247,3745,2420,6809,4101,,,,,,,,,28.704874,-81.41711,Longwood,FL
32780,425,1625,7833,6363,3103,4974,2277,,,,,,,,,28.564077,-80.81695,Titusville,FL
32784,303,1162,2985,1997,783,599,470,,,,,,,,,28.948549,-81.70621,Umatilla,FL
32789,290,688,2637,2418,1170,5598,4892,,,,,,,,,28.598677,-81.35594,Winter Park,FL
32792,864,1555,8255,8277,3975,8072,4194,,,,,,,,,28.607077,-81.30606,Winter Park,FL
32796,240,1032,5041,3961,2218,2188,1138,,,,,,,,,28.623371,-80.84123,Titusville,FL
32798,106,170,778,586,113,325,51,,,,,,,,,28.716923,-81.5754,Zellwood,FL
32822,2113,4748,12445,7913,4244,5170,1665,,,,,,,,,28.494931,-81.28949,Orlando,FL
32824,1589,2073,7606,6624,3451,4764,1477,,,,,,,,,28.410872,-81.35898,Orlando,FL
32825,1604,2974,8795,8383,4475,8201,3608,,,,,,,,,28.543248,-81.2456,Orlando,FL
32826,531,939,3148,2105,1774,3256,1695,,,,,,,,,28.584177,-81.18634,Orlando,FL
32827,58,279,1238,913,573,1520,1436,,,,,,,,,28.425221,-81.30353,Orlando,FL
32828,1011,1747,6602,7802,4646,11471,5427,,,,,,,,,28.542132,-81.18404,Orlando,FL
32829,566,813,3280,2507,2125,2570,1967,,,,,,,,,28.491653,-81.26436,Orlando,FL
32830,0,2,4,0,5,0,0,,,,,,,,,28.385549,-81.505894,Orlando,FL
32831,321,783,1183,282,138,78,44,,,,,,,,,28.458149,-81.13666,Orlando,FL
32832,290,322,1678,2505,1423,4436,2339,,,,,,,,,28.395979,-81.17653,Orlando,FL
32833,102,344,2343,1495,733,857,633,,,,,,,,,28.511879,-81.09078,Orlando,FL
32835,1110,1497,7256,5369,3217,6787,4391,,,,,,,,,28.528789,-81.47863,Orlando,FL
32836,322,484,2038,1817,1350,4283,2191,,,,,,,,,28.401151,-81.52488,Orlando,FL
32837,1461,2112,8520,8169,3564,8309,3953,,,,,,,,,28.385906,-81.41182,Orlando,FL
32839,2885,4088,10263,7359,2806,5188,1075,,,,,,,,,28.489758,-81.40625,Orlando,FL
32901,755,1356,5491,4015,1571,3105,1783,,,,,,,,,28.077494,-80.61987,Melbourne,FL
32903,85,242,1983,2250,1049,2899,2141,,,,,,,,,28.103191,-80.57414,Indialantic,FL
32904,306,1247,6106,4188,2422,4125,2497,,,,,,,,,28.073891,-80.67167,Melbourne,FL
32905,641,1603,5366,3862,2199,2102,968,,,,,,,,,28.031689,-80.60014,Palm Bay,FL
32907,936,1990,10072,7433,3233,4137,1794,,,,,,,,,28.012241,-80.67729,Palm Bay,FL
32908,327,365,2941,1931,805,910,310,,,,,,,,,27.958982,-80.68591,Palm Bay,FL
32909,1113,1182,7462,5247,2333,2111,1407,,,,,,,,,27.950975,-80.64679,Palm Bay,FL
>>>>>>> 7db7256b0a938729bb611ace6d7b9862b713cc27
